Model,Removed_Feature,Feature_Count,Train_R2,Test_R2,Train_MSE,Test_MSE,Train_MAE,Test_MAE,Performance_Drop_R2,Performance_Drop_MSE
Baseline_All_Features_Explainable,None,8,0.9298998505298662,0.15645940949184192,0.07609327663860757,0.6384824297640143,0.1933236021222587,0.5014700479336638,0.0,0.0
Remove_Temp_Explainable,Temp,7,0.9603828320498435,-0.04835670855387712,0.04188305229811902,0.8038488534921593,0.1582438685022477,0.5865319574429362,0.20481611804571903,0.16536642372814503
Remove_pH__Explainable,pH ,7,0.9373441039722179,0.12577891230620036,0.06745690733609024,0.6283219888505494,0.19334572804221173,0.5404719394677746,0.03068049718564156,-0.010160440913464908
Remove_UVA254cm_Explainable,UVA254(cm),7,0.9225916079114909,0.18875518448010078,0.08388720959630648,0.5903470573142247,0.20982640304581798,0.4742975882417767,-0.03229577498825886,-0.048135372449789604
Remove_Cl2_mg/L_Explainable,Cl2 (mg/L),7,0.9451874560510836,0.34533677552706277,0.0588063255376378,0.5149764437344558,0.17416026042193722,0.40872440039077534,-0.18887736603522084,-0.12350598602955842
Remove_NO2__N_mg/L_Explainable,NO2 -N (mg/L),7,0.9525787108994559,0.31603826955426273,0.04891644772214203,0.5281821730498831,0.16172632841838244,0.45365158369332426,-0.1595788600624208,-0.11030025671413113
Remove_DOC_mg/L_Explainable,DOC (mg/L),7,0.8238678929940388,-0.362276958869222,0.1960471488773439,0.9458285806177178,0.28532456342982926,0.7703317224456476,0.518736368361064,0.30734615085370354
Remove_NH4_N_ug/L_Explainable,NH4-N (ug/L),7,0.8703601744192682,0.0633106519793801,0.13685609697878814,0.6865261185447725,0.2764319103880813,0.5900564502108191,0.09314875751246182,0.048043688780758265
Remove_Br_ug/L_Explainable,Br (ug/L),7,0.9553986534931838,0.2432093315123128,0.0467447043704094,0.5794860875138519,0.161679297022373,0.4735391651520714,-0.08674992202047088,-0.05899634225016237
