DCAA,TCAA,HAA5,TTHM,Temp,pH,DOC,Cl2,NO2-N,NH4-N,Br,DWS_NAME,SAMPLE_DATE,Year
7.1,5.5,15.0,22.5,16.3,8.04,1.6,1.3733333333333333,0.002,0.283,2.82,UNION AREA WATER SUPPLY SYSTEM,20170524,2017
8.1,6.2,16.0,27.5,20.0,8.04,1.4,1.3266666666666667,0.002,0.313,6.35,UNION AREA WATER SUPPLY SYSTEM,20170911,2017
0.43,0.375,0.5,0.8,8.6,8.07,0.6,0.88,0.0005,0.007,2.0199999999999996,VALLEY DRINKING WATER SYSTEM,20170516,2017
0.15,0.375,0.5,0.3,8.2,7.84,0.3,0.8933333333333334,0.0005,0.0025,2.0199999999999996,VALLEY DRINKING WATER SYSTEM,20170516,2017
1.2,0.375,1.2,0.5,9.5,7.78,0.2,0.8666666666666667,0.0005,0.012,2.0199999999999996,VALLEY DRINKING WATER SYSTEM,20170926,2017
4.0,0.375,4.0,1.2,10.6,7.92,1.0,1.0,0.0005,0.013,2.0199999999999996,VALLEY DRINKING WATER SYSTEM,20170926,2017
0.32,0.375,0.5,0.4,10.7,7.6,0.8,0.8466666666666667,0.0005,0.015,2.0199999999999996,VALLEY DRINKING WATER SYSTEM,20171024,2017
0.41,0.375,0.5,0.4,12.0,7.89,0.6,0.9,0.0005,0.015,2.0199999999999996,VALLEY DRINKING WATER SYSTEM,20171024,2017
0.15,0.375,0.5,0.05,10.1,8.01,0.4,1.0133333333333334,0.0005,0.028,2.0199999999999996,WALKERTON DRINKING WATER SYSTEM,20170920,2017
2.2,2.0,5.0,12.4,12.1,8.11,1.2,0.7133333333333333,0.002,0.0025,1.02,WALPOLE ISLAND DRINKING WATER SYSTEM,20170523,2017
21.0,27.0,50.0,63.1,4.2,7.91,3.1,0.79,0.0005,0.011,0.08,WAWA DRINKING WATER SYSTEM,20170508,2017
3.4,4.3,9.0,18.4,9.7,8.0,1.7,0.9199999999999999,0.0005,0.011,0.92,WELLAND DRINKING WATER SYSTEM,20170418,2017
7.0,4.9,13.0,24.6,23.8,7.92,1.6,0.9866666666666667,0.0005,0.033,2.0199999999999996,WELLAND DRINKING WATER SYSTEM,20170814,2017
11.0,10.0,23.0,37.2,16.6,8.2,2.0,1.7533333333333332,0.0005,0.0025,2.95,WELLINGTON  DRINKING WATER SYSTEM,20170704,2017
12.0,10.0,24.0,35.0,19.3,8.1,1.8,1.7333333333333334,0.0005,0.033,2.2,WELLINGTON  DRINKING WATER SYSTEM,20170919,2017
4.7,4.3,11.0,20.3,6.4,8.06,1.6,1.4533333333333334,0.0005,0.439,2.0199999999999996,YORK DRINKING WATER SYSTEM - AURORA,20170412,2017
3.2,2.9,7.7,16.5,13.2,8.13,1.0,0.8533333333333335,0.002,0.0025,3.34,YORK DRINKING WATER SYSTEM - STOUFFVILLE,20170719,2017
