DCAA,TCAA,HAA5,TTHM,Temp,pH,DOC,Cl2,NO2-N,NH4-N,Br,DWS_NAME,SAMPLE_DATE,Year
4.7,5.8,12.0,18.3,8.0,7.94,2.9,1.3800000000000001,0.0005,0.014,2.0199999999999996,GEORGINA DRINKING WATER SYSTEM - KESWICK,20170424,2017
8.1,7.1,16.0,15.7,5.0,7.63,2.9,1.5466666666666666,0.0005,0.024,2.0199999999999996,GEORGINA DRINKING WATER SYSTEM - KESWICK,20171129,2017
7.1,6.6,15.0,37.7,18.0,8.0,1.8,1.0999999999999999,0.002,0.01,2.0199999999999996,GLEN WALTER  DRINKING WATER SYSTEM,20170911,2017
11.0,10.0,22.0,29.8,19.8,7.97,1.9,0.8533333333333334,0.0005,0.014,2.0199999999999996,GODERICH DRINKING WATER SYSTEM,20170628,2017
9.8,9.7,20.0,18.2,5.75,7.92,1.7,1.1666666666666667,0.0005,0.012,2.0199999999999996,GODERICH DRINKING WATER SYSTEM,20171122,2017
13.0,20.0,32.0,34.4,11.0,7.81,2.0,1.5333333333333332,0.0005,0.0025,2.0199999999999996,GRAVENHURST (MUSKOKA BEACH)  DRINKING WATER SYSTEM,20170720,2017
17.0,28.0,46.0,44.3,13.4,7.73,1.9,1.4400000000000002,0.0005,0.008,1.34,GRAVENHURST (MUSKOKA BEACH)  DRINKING WATER SYSTEM,20171024,2017
4.0,2.0,6.6,12.9,8.0,7.86,1.4,1.1466666666666667,0.0005,0.013,2.94,GRIMSBY DRINKING WATER SYSTEM,20170816,2017
3.4,1.4,7.7,16.0,9.5,7.92,1.3,1.04,0.002,0.009,2.0199999999999996,GUELPH DRINKING WATER SYSTEM,20171011,2017
8.8,11.0,21.0,26.2,6.0,7.56,2.3,0.7400000000000001,0.002,0.022,1.61,HAWKESBURY  DRINKING WATER SYSTEM,20170424,2017
0.8,0.375,1.2,6.4,8.0,8.17,0.5,0.7600000000000001,0.0005,0.008,1.22,HILLSBURGH DRINKING WATER SYSTEM,20170612,2017
1.2,1.7,2.9,7.4,9.0,8.17,0.6,0.82,0.0005,0.0025,0.08,HILLSBURGH DRINKING WATER SYSTEM,20170612,2017
1.5,0.375,1.9,4.5,8.0,8.03,1.1,0.7266666666666667,0.0005,0.022,0.92,HILLSBURGH DRINKING WATER SYSTEM,20171211,2017
3.0,2.3,5.3,7.4,8.0,8.06,1.3,0.8000000000000002,0.0005,0.027,0.23,HILLSBURGH DRINKING WATER SYSTEM,20171211,2017
8.2,12.0,21.0,23.9,10.2,7.44,1.5,1.2933333333333332,0.0005,0.015,2.0199999999999996,HUNTSVILLE (FAIRYVIEW)  DRINKING WATER SYSTEM,20170501,2017
20.0,17.0,39.0,30.7,9.2,7.64,1.9,1.36,0.0005,0.018,2.0199999999999996,HUNTSVILLE (FAIRYVIEW)  DRINKING WATER SYSTEM,20170809,2017
7.9,11.0,21.0,27.9,7.6,7.85,3.4,2.2,0.0005,0.016,2.0199999999999996,INNISFIL LAKE SIMCOE DRINKING WATER SYSTEM,20170502,2017
