Variable,Mean,Median,Mode,Std,Variance,Min,Max,Range,IQR,CV,Skewness,Kurtosis
Temp,16.51666666666667,15.9,12.0,5.729158438222529,32.82325641025641,5.0,25.2,20.2,10.7,0.34687134842921463,0.13154155538881332,-1.1223996342645095
pH ,7.197121212121213,7.17,6.92,0.24919417916102884,0.06209773892773894,6.85,8.5,1.6500000000000004,0.2450000000000001,0.03462414649086946,2.3287562972500573,10.487204945240443
UVA254(cm),0.018393939393939393,0.0185,0.008,0.009557725490414367,9.135011655011656e-05,0.001,0.038,0.037,0.01725,0.5196127531856246,0.17968938631634063,-1.0050850466805343
Cl2 (mg/L),0.3372727272727272,0.31,0.5,0.23471452679991736,0.05509090909090913,0.02,1.51,1.49,0.2825,0.6959190821560893,2.2056678261124154,9.235029791663752
NO2 -N (mg/L),0.9837878787878787,0.86,0.0,0.9133366809528088,0.8341838927738929,0.0,4.28,4.28,1.22,0.9283878167701431,1.5213892674192278,3.257082278501639
DOC (mg/L),0.9165151515151514,0.905,0.7,0.4851026613765298,0.23532459207459214,0.03,2.14,2.1100000000000003,0.5050000000000002,0.5292903893346168,0.515980023364525,0.2479462373070329
NH4-N (ug/L),16.755151515151514,17.97,0.0,10.992360597940351,120.83199151515156,0.0,33.69,33.69,20.307499999999997,0.6560585613326189,-0.044929029780412674,-1.4984382671738108
Br (ug/L),3.292121212121212,2.59,1.23,2.7809077185206523,7.73344773892774,1.15,20.64,19.490000000000002,2.1175,0.8447160779747932,4.155344102065291,23.450625307710418
