,PC1,PC2
Temp,0.41846684361012826,-0.3827572361321447
pH ,0.34026022573317577,-0.13936264721684405
UVA254(cm),0.3512457978008856,0.48275119757368345
Cl2 (mg/L),-0.2202102703689547,-0.4551339952280354
NO2 -N (mg/L),0.3982021025704885,-0.26427688016026724
DOC (mg/L),0.35988251653913433,0.46682155218754257
NH4-N (ug/L),-0.3491428420779478,0.32406304220859766
Br (ug/L),0.3567369360717659,-0.03313294551673462
