Variable,Mean,Median,Mode,Std,Variance,Min,Max,Range,IQR,CV,Skewness,Kurtosis
DCAA (mg/L),8.076666666666666,7.775,7.75,3.6634747412104787,13.421047179487184,3.22,17.9,14.679999999999998,5.117500000000001,0.4535874627994815,0.9059472666547367,0.25031211750697224
TCAA (ug/L),7.1446969696969695,6.205,7.23,4.081397656420756,16.657806829836836,1.74,18.11,16.37,5.3575,0.5712485321254795,1.0615536145167972,0.7084593476200327
BCAA(mg/L),1.0531818181818182,0.95,0.87,0.4053949986064269,0.1643451048951049,0.55,3.0,2.45,0.26249999999999996,0.3849240383833143,2.380691079004761,8.17291921082007
HAA5 (ug/L),15.56060606060606,13.780000000000001,15.14,7.710737145004187,59.45546731934732,4.96,36.46,31.5,11.017500000000002,0.4955293588805028,0.9239333289500196,0.37875508576802286
HAA9 (ug/L),17.131666666666668,15.44,16.81,8.102990062237392,65.65844794871795,5.77,38.48,32.709999999999994,11.652499999999996,0.4729831732019102,0.8200289824488509,0.10114763211324451
