,DCAA (mg/L),TCAA (ug/L),BCAA(mg/L),HAA5 (ug/L),HAA9 (ug/L),Temp,pH ,UVA254(cm),Cl2 (mg/L),NO2 -N (mg/L),DOC (mg/L),NH4-N (ug/L),Br (ug/L)
count,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0
mean,8.076666666666666,7.1446969696969695,1.0531818181818182,15.56060606060606,17.131666666666668,16.51666666666667,7.197121212121213,0.018393939393939393,0.3372727272727272,0.9837878787878787,0.9165151515151514,16.755151515151514,3.292121212121212
std,3.6634747412104787,4.081397656420756,0.4053949986064269,7.710737145004187,8.102990062237392,5.729158438222529,0.24919417916102884,0.009557725490414367,0.23471452679991736,0.9133366809528088,0.4851026613765298,10.992360597940351,2.7809077185206523
min,3.22,1.74,0.55,4.96,5.77,5.0,6.85,0.001,0.02,0.0,0.03,0.0,1.15
25%,5.0225,4.0,0.8625,9.4875,11.092500000000001,12.0,7.05,0.01,0.17500000000000002,0.3,0.61,6.6425,1.755
50%,7.775,6.205,0.95,13.780000000000001,15.44,15.9,7.17,0.0185,0.31,0.86,0.905,17.97,2.59
75%,10.14,9.3575,1.125,20.505000000000003,22.744999999999997,22.7,7.295,0.02725,0.4575,1.52,1.1150000000000002,26.95,3.8725
max,17.9,18.11,3.0,36.46,38.48,25.2,8.5,0.038,1.51,4.28,2.14,33.69,20.64
