PC,Explained_Variance_Ratio,Cumulative_Variance_Ratio,Eigenvalue
PC1,0.46809863339040403,0.46809863339040403,3.802401206617437
PC2,0.15481325365617327,0.6229118870465773,1.2575599681609155
PC3,0.1275672986292308,0.7504791856758081,1.0362389796343676
PC4,0.08146328359860655,0.8319424692744146,0.661732519077912
PC5,0.06901424772393976,0.9009567169983543,0.5606080430498493
PC6,0.05527559463159263,0.9562323116299469,0.44900790716124495
PC7,0.02673978095336227,0.9829720925833092,0.21720929759038898
PC8,0.017027907416690694,0.9999999999999999,0.1383190017848106
