,attention,permutation,shap,attention_std_across_seeds,attention_cv
environmental,0.09102465627166098,0.03330328895048225,0.11727561346704483,0.05896699579139145,0.6478134386656742
organic_matter,0.5822961101189953,0.7296272946290381,0.4740787468515089,0.146592720508738,0.25174944060674836
disinfectant,0.0796597336393716,0.025825959055117836,0.07612440309090464,0.06648387926321223,0.8345983094659081
nitrogen_species,0.19456889523252677,0.19002358212756346,0.27969411790874604,0.09990387882414138,0.5134627420851886
halides,0.05245060473744544,0.02121987523779838,0.05282711868179547,0.022325779693985144,0.425653426242288
