Dataset,Seed,Fraction,N_train,Model,Test R2
ontario,1024,0.3,37,Explainable Model,0.3180400832442867
ontario,1024,0.45,55,Random Forest,0.5750148348055493
ontario,1024,0.45,55,Support Vector Regression,0.5825119865779083
ontario,1024,0.45,55,XGBoost,0.4996066592084472
ontario,1024,0.45,55,Explainable Model,0.5353317029493974
ontario,1024,0.6,73,Random Forest,0.6211285266949094
ontario,1024,0.6,73,Support Vector Regression,0.5239728464952806
ontario,1024,0.6,73,XGBoost,0.6481128420302599
ontario,1024,0.6,73,Explainable Model,0.6250047480186659
ontario,1024,0.75,92,Random Forest,0.6029177251302033
ontario,1024,0.75,92,Support Vector Regression,0.5331156003042552
ontario,1024,0.75,92,XGBoost,0.5633281137455911
ontario,1024,0.75,92,Explainable Model,0.2903425791530566
ontario,1024,0.9,110,Random Forest,0.5897448150988341
ontario,1024,0.9,110,Support Vector Regression,0.553305291085999
ontario,1024,0.9,110,XGBoost,0.5530297775582649
ontario,1024,0.9,110,Explainable Model,0.5261910226911222
ontario,1024,1.0,122,Random Forest,0.602208584648416
ontario,1024,1.0,122,Support Vector Regression,0.5639221901354026
ontario,1024,1.0,122,XGBoost,0.6188419693182411
ontario,1024,1.0,122,Explainable Model,0.3284025873461237
ontario,2025,0.3,37,Random Forest,0.496737178599727
ontario,2025,0.3,37,Support Vector Regression,0.5096824600241462
ontario,2025,0.3,37,XGBoost,0.285148422884408
ontario,2025,0.3,37,Explainable Model,0.4146145675494609
ontario,2025,0.45,55,Random Forest,0.45990313286367646
ontario,2025,0.45,55,Support Vector Regression,-0.06321566831764525
ontario,2025,0.45,55,XGBoost,0.4021624131825543
ontario,2025,0.45,55,Explainable Model,0.4940848604677493
ontario,2025,0.6,73,Random Forest,0.6267015868657742
ontario,2025,0.6,73,Support Vector Regression,0.5350748353366923
ontario,2025,0.6,73,XGBoost,0.5028996565647966
ontario,2025,0.6,73,Explainable Model,0.3198566110876235
ontario,2025,0.75,92,Random Forest,0.5694013343534108
ontario,2025,0.75,92,Support Vector Regression,0.6242008073922791
ontario,2025,0.75,92,XGBoost,0.5381629940868559
ontario,2025,0.75,92,Explainable Model,0.4311270616678323
ontario,2025,0.9,110,Random Forest,0.5629904641963358
ontario,2025,0.9,110,Support Vector Regression,0.6167171221855047
ontario,2025,0.9,110,XGBoost,0.44739187227324523
ontario,2025,0.9,110,Explainable Model,0.26648191864669624
ontario,2025,1.0,122,Random Forest,0.5743845074290299
ontario,2025,1.0,122,Support Vector Regression,0.6271498430827883
ontario,2025,1.0,122,XGBoost,0.5438321897876909
ontario,2025,1.0,122,Explainable Model,0.562282386566785
ontario,3407,0.3,37,Random Forest,0.40833507596775276
ontario,3407,0.3,37,Support Vector Regression,0.11976071525633125
ontario,3407,0.3,37,XGBoost,0.2919629530669767
ontario,3407,0.3,37,Explainable Model,0.4579969602916351
ontario,3407,0.45,55,Random Forest,0.47530368393695666
ontario,3407,0.45,55,Support Vector Regression,0.5224246947836029
ontario,3407,0.45,55,XGBoost,0.366271799083478
ontario,3407,0.45,55,Explainable Model,0.5694923130959486
ontario,3407,0.6,73,Random Forest,0.467764873528592
ontario,3407,0.6,73,Support Vector Regression,0.4489335859133242
ontario,3407,0.6,73,XGBoost,0.3565107754034339
ontario,3407,0.6,73,Explainable Model,0.5621664264343657
ontario,3407,0.75,92,Random Forest,0.5320763758195624
ontario,3407,0.75,92,Support Vector Regression,0.4797990618257486
ontario,3407,0.75,92,XGBoost,0.46449540311618165
ontario,3407,0.75,92,Explainable Model,0.5432276696348166
ontario,3407,0.9,110,Random Forest,0.5786331785279973
ontario,3407,0.9,110,Support Vector Regression,0.5808887491996468
ontario,3407,0.9,110,XGBoost,0.5897844615960681
ontario,3407,0.9,110,Explainable Model,0.6135197230198949
ontario,3407,1.0,122,Random Forest,0.5480259670982373
ontario,3407,1.0,122,Support Vector Regression,0.5236450175772567
ontario,3407,1.0,122,XGBoost,0.47054149705756976
ontario,3407,1.0,122,Explainable Model,0.5292871206530065
ontario,5555,0.3,37,Random Forest,0.5367831963108312
ontario,5555,0.3,37,Support Vector Regression,0.5463216981539616
ontario,5555,0.3,37,XGBoost,0.4338025234273998
ontario,5555,0.3,37,Explainable Model,0.13707154096357754
ontario,5555,0.45,55,Random Forest,0.38839838128179444
ontario,5555,0.45,55,Support Vector Regression,0.4263548551607602
ontario,5555,0.45,55,XGBoost,0.31941602409390957
ontario,5555,0.45,55,Explainable Model,0.28048589360553405
ontario,5555,0.6,73,Random Forest,0.5592721603001944
ontario,5555,0.6,73,Support Vector Regression,0.48963221253791034
ontario,5555,0.6,73,XGBoost,0.29139997257839423
ontario,5555,0.6,73,Explainable Model,0.19397224483551448
ontario,5555,0.75,92,Random Forest,0.609697057490767
ontario,5555,0.75,92,Support Vector Regression,0.5817117049217102
ontario,5555,0.75,92,XGBoost,0.6040675741780388
ontario,5555,0.75,92,Explainable Model,0.6361295241406295
ontario,5555,0.9,110,Random Forest,0.6042843201043256
ontario,5555,0.9,110,Support Vector Regression,0.6292803054679512
ontario,5555,0.9,110,XGBoost,0.6587893663381843
ontario,5555,0.9,110,Explainable Model,0.3654594545186726
ontario,5555,1.0,122,Random Forest,0.5423769914504686
ontario,5555,1.0,122,Support Vector Regression,0.6317569082857555
ontario,5555,1.0,122,XGBoost,0.5337484068382066
ontario,5555,1.0,122,Explainable Model,0.5551140899179745
ontario,7777,0.3,37,Random Forest,0.6452528328383675
ontario,7777,0.3,37,Support Vector Regression,0.5362142488832236
ontario,7777,0.3,37,XGBoost,0.6141027571914941
ontario,7777,0.3,37,Explainable Model,0.6525153578021949
ontario,7777,0.45,55,Random Forest,0.5675171738449638
ontario,7777,0.45,55,Support Vector Regression,0.4971141977509278
ontario,7777,0.45,55,XGBoost,0.5245080888924725
ontario,7777,0.45,55,Explainable Model,0.6194155934157296
