Seed,Test R2,environmental,organic_matter,disinfectant,nitrogen_species,halides
42,0.04832841073854577,0.11795980483293533,0.5376864671707153,0.07546789944171906,0.1761079877614975,0.09277787804603577
123,0.053937092332642364,0.04831553250551224,0.5481032133102417,0.05802660435438156,0.28856414556503296,0.056990496814250946
456,0.509156316674137,0.05178685858845711,0.6942508220672607,0.05059739574790001,0.13844196498394012,0.064922995865345
789,0.3517202582796206,0.1647452712059021,0.33999648690223694,0.06964443624019623,0.35380059480667114,0.07181321084499359
1024,0.2512982958668299,0.0999983549118042,0.5889201164245605,0.12346270680427551,0.12683548033237457,0.06078333407640457
2025,0.29796913982689804,0.033691179007291794,0.859473705291748,0.02941277250647545,0.06093345209956169,0.016488833352923393
3407,0.01929990783602966,0.042895928025245667,0.637336790561676,0.04582938924431801,0.24715691804885864,0.026780936866998672
5555,0.5779775200490175,0.09648789465427399,0.6526926159858704,0.05238994210958481,0.14801354706287384,0.050416070967912674
7777,0.3316694681973341,0.04520316421985626,0.5662980079650879,0.03806888684630394,0.3138850927352905,0.03654487058520317
9999,0.44292206466165496,0.20916257798671722,0.39820289611816406,0.25369730591773987,0.09194977581501007,0.046987421810626984
